views,likes,comments,shares,author_verified,primary_hashtag,music_name,music_is_original,duration_sec,caption,upload_date,author_name,video_id
31300,1188,8,1,False,පොඩි,original sound - Kelum Dissanayake✍️,True,15,#පොඩි බඩගින්නක් #ඇවිල්ලා ඒයාට #vedio #කරනවා_ දැකලා #දුවනවා 🤭🥰🥰🥰#Mine @dula__girl98,2020-12-11,blackztoplasith2,6904909762027195649
43700,4896,257,198,False,fyp,original sound - Cece Ko,True,9,TRUE FACT 😂 Welke telefoon heb jij? ✨ #fyp,2020-10-27,allyshavandijk,6888254914754006274
126400,5626,48,119,False,koe,origineel geluid,True,15,Koe 🐮 #koe #mindfuck #snelheid #jajajaja #ja #lachen #dochter #queensover30 #queensonfyp @marrrittt,2020-12-07,jeanetkuiper,6903552918159379713
10600,1338,13,61,False,,original sound,True,14,,2020-11-13,nipuna610,6894393861238557954
2700000,116400,347,15000,True,fifa21,Freestyler,False,13,Break some ankles in FIFA 21. 😉 #FIFA21 #FIFASkills,2020-09-28,ajaxesports,6877530962742217985
2400000,171500,1051,1762,True,korthom,original sound,True,6,"Zelfde meid 1,5 jaar later 😂😅 #korthom #foryou #fyp #schooltour",2020-10-16,korthom,6884265711980645634
31800,2566,96,9,False,4yp,Originalton,True,15,Reply to @nic23052 meet Anna The Warrior Of Strength 🖤💪🏻 #4yp #foryou #gloryxv #limitededition #fyp #blowthisup #transition #JDWonderland #blessed,2020-11-09,gloryxv_uk,6893183413965147394
58900,441,7,15,False,fyp,Superman,False,7,Lopen #fyp #voorjou #dutch,2020-10-20,jantt7,6885774617479302402
58300,5161,51,102,False,daniilkvyat,original sound,True,25,🤣🤣😭 #daniilkvyat #tororosso #f1 #formula1 #fy #foryou,2020-11-27,funniest.f1.moments,6899811757322194177
202400,10400,747,91,False,duet,original sound,True,30,almost  33 reps😤.beat me if you can #duet #sportlover #challenge,2020-10-12,_tb98_,6882598038947286274
103600,11600,27,96,False,danielricciardo,Shh (Young Fanatic),True,11,“omg” #danielricciardo #maxverstappen #redbull #f1 #formula1 #fy #foryou,2020-11-14,funniest.f1.moments,6894926988453186817
331900,24300,97,1508,False,valtteribottas,original sound,True,15,🤭🤣 #valtteribottas #mercedes #f1 #formula1 #fy #foryou,2020-11-16,funniest.f1.moments,6895741298297359617
